case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2021-0033,2021.0,2021-03-15,,0.0,,1.0,,,,,1,1,1,1
C14-2021-0037,2021.0,2021-03-16,,0.0,,1.0,,,,,1,1,1,1
C14-2021-0039,2021.0,2021-03-16,,0.0,4.0,1.0,25.0,0.6,20.0,2250.0,0,0,0,0
C14-2021-0050,2021.0,2021-03-24,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2021-0055,2021.0,2021-03-16,,0.0,7.0,1.0,25.0,0.6,20.0,2250.0,0,0,0,0
C14-2021-0056,2021.0,2021-03-25,2021-08-04 14:14:18,0.0,5.0,0.0,5.0,0.4,15.0,2250.0,0,0,0,0
C14-2021-0081,2021.0,2021-04-20,2021-11-18 19:35:17,0.0,9.0,0.0,0.0,-1.0,-20.0,0.0,0,0,0,0
C14-2021-0082,2021.0,2021-04-22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2021-0100,2021.0,2021-04-16,2021-11-04 16:45:28,0.0,10.0,0.0,50.0,2.5,30.0,2250.0,0,0,0,0
C14-2021-0117,2021.0,2021-07-08,2021-11-04 17:15:19,0.0,5.0,0.0,25.0,0.85,60.0,-37810.0,0,0,0,0
C14-2021-0119,2021.0,2021-07-11,,0.0,2.0,0.0,5.0,0.4499999999999999,35.0,-35560.0,0,0,0,0
C14-2021-0123,2021.0,2021-07-19,,0.0,2.0,0.0,25.0,0.85,60.0,-37810.0,0,0,0,0
C14-2021-0125,2021.0,2021-07-29,2022-04-18 10:16:02,0.0,3.0,0.0,25.0,1.6,55.0,0.0,0,0,0,0
C14-2021-0127,2021.0,2021-07-01,2022-01-27 17:04:03,0.0,1.0,1.0,0.0,0.15,15.0,0.0,0,0,0,0
C14-2021-0128,2021.0,2021-07-25,2022-03-08 18:31:31,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2021-0130,2021.0,2021-07-29,,0.0,,1.0,25.0,0.95,40.0,-37810.0,0,0,0,0
C14-2021-0136,2021.0,2021-07-28,,0.0,5.0,0.0,0.0,0.05,0.0,0.0,0,0,0,0
C14-2021-0137,2021.0,2021-08-19,,0.0,10.0,0.0,20.0,1.5,45.0,0.0,0,0,0,0
C14-2021-0139,2021.0,2021-08-04,2022-08-23 20:30:05,0.0,9.0,1.0,5.0,0.1999999999999999,10.0,2250.0,0,0,0,0
C14-2021-0141,2021.0,2021-09-03,,0.0,1.0,1.0,0.0,0.1,5.0,-2150.0,0,0,0,0
C14-2021-0150,2021.0,2021-09-03,2022-07-28 16:14:23,0.0,5.0,0.0,5.0,0.1999999999999999,10.0,2250.0,0,0,0,0
C14-2021-0161,2021.0,2021-09-17,2022-12-01 12:29:18,0.0,5.0,0.0,20.0,0.3,10.0,2250.0,0,0,0,0
C14-2021-0183,2021.0,2021-11-16,,0.0,9.0,1.0,5.0,0.0999999999999999,10.0,0.0,0,0,0,0
C14-2021-0193,2021.0,2021-12-15,2022-07-28 16:52:54,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2022-0004,2022.0,2022-01-07,,0.0,5.0,0.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2022-0008.SH,2022.0,2022-01-12,2022-07-28 17:40:29,0.0,1.0,,25.0,0.6,20.0,2250.0,0,0,0,0
C14-2022-0010,2022.0,2022-01-20,,0.0,10.0,0.0,25.0,0.65,25.0,0.0,0,0,0,0
C14-2022-0018.SH,2022.0,2022-02-17,,0.0,4.0,,20.0,1.25,40.0,-2250.0,0,0,0,0
C14-2022-0033,2022.0,2022-02-10,,0.0,2.0,0.0,5.0,0.4499999999999999,35.0,-35560.0,0,0,0,0
C14-2022-0047,2022.0,2022-03-31,,0.0,9.0,0.0,-25.0,-0.55,-15.0,-4400.0,0,0,0,0
C14-2022-0056,2022.0,2022-05-02,,0.0,5.0,0.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2022-0067,2022.0,2022-05-23,2022-10-27 18:52:45,0.0,2.0,0.0,0.0,-0.0499999999999999,-5.0,2150.0,0,0,0,0
C14-2022-0076,2022.0,2022-06-07,2023-04-21 16:03:38,0.0,9.0,1.0,,,,,1,1,1,1
